"Name";"X";"Y"
"630254.181049999 231267.37";630254.181049999;231267.37
"630256.85805 231423.028";630256.85805;231423.028
"630257.833050001 231542.286";630257.833050001;231542.286
"630258.832049999 231271.002";630258.832049999;231271.002
"630259.44805 231298.906";630259.44805;231298.906
"630260.444049999 231549.15";630260.444049999;231549.15
"630263.40605 231294.441";630263.40605;231294.441
"630263.721050002 231275.874";630263.721050002;231275.874
"630265.162050001 231555.117";630265.162050001;231555.117
"630267.18505 231281.048";630267.18505;231281.048
"630268.388050001 231284.442";630268.388050001;231284.442
"630270.859049998 230302.379";630270.859049998;230302.379
"630279.787050001 230308.005";630279.787050001;230308.005
"630286.666049998 231567.875";630286.666049998;231567.875
"630290.769049998 231572.198";630290.769049998;231572.198
"630292.03805 230312.923";630292.03805;230312.923
"630292.148049999 231620.886";630292.148049999;231620.886
"630293.627050001 231623.3";630293.627050001;231623.3
"630294.896049999 231625.372";630294.896049999;231625.372
"630296.37105 231619.23";630296.37105;231619.23
"630296.434050001 230314.602";630296.434050001;230314.602
"630304.97205 231579.148";630304.97205;231579.148
"630305.533050001 231611.559";630305.533050001;231611.559
"630306.907049999 231646.047";630306.907049999;231646.047
"630310.390050001 230319.996";630310.390050001;230319.996
"630311.642050002 231597.081";630311.642050002;231597.081
"630312.14305 231583.505";630312.14305;231583.505
"630313.08405 231591.122";630313.08405;231591.122
"630315.065049998 231661.22";630315.065049998;231661.22
"630315.56605 230317.522";630315.56605;230317.522
"630318.86905 230305.259";630318.86905;230305.259
"630325.56605 231685.678";630325.56605;231685.678
"630326.036049999 230300.786";630326.036049999;230300.786
"630329.31405 231706.005";630329.31405;231706.005
"630329.77005 231708.456";630329.77005;231708.456
"630330.230050001 231710.929";630330.230050001;231710.929
"630339.037050001 231696.736";630339.037050001;231696.736
"630345.59905 230292.06";630345.59905;230292.06
"630350.02005 230290.488";630350.02005;230290.488
"630350.272050001 231698.346";630350.272050001;231698.346
"630356.73105 230291.233";630356.73105;230291.233
"630359.725049999 230243.308";630359.725049999;230243.308
"630359.851050001 230247.475";630359.851050001;230247.475
"630360.86005 231710.727";630360.86005;231710.727
"630361.238049999 230293.207";630361.238049999;230293.207
"630362.704050001 230239.524";630362.704050001;230239.524
"630368.840050001 230256.13";630368.840050001;230256.13
"630369.457049999 230235.016";630369.457049999;230235.016
"630369.756050002 231720.792";630369.756050002;231720.792
"630372.973049998 230298.644";630372.973049998;230298.644
"630381.90605 230298.311";630381.90605;230298.311
"630382.42605 230263.689";630382.42605;230263.689
"630383.953049999 231723.343";630383.953049999;231723.343
"630384.999049999 230228.603";630384.999049999;230228.603
"630388.837049998 230266.796";630388.837049998;230266.796
"630390.764049999 230294.186";630390.764049999;230294.186
"630394.159049999 230273.897";630394.159049999;230273.897
"630395.125050001 230290.167";630395.125050001;230290.167
"630397.991050001 230280.358";630397.991050001;230280.358
"630401.46305 230225.83";630401.46305;230225.83
"630403.707049999 231722.485";630403.707049999;231722.485
"630409.795049999 230224.859";630409.795049999;230224.859
"630419.21305 230218.449";630419.21305;230218.449
"630426.24605 230211.458";630426.24605;230211.458
"630432.581050001 230207.24";630432.581050001;230207.24
"630440.055050001 230208.81";630440.055050001;230208.81
"630441.624049999 231722.705";630441.624049999;231722.705
"630450.372049998 230212.107";630450.372049998;230212.107
"630456.76605 230216.313";630456.76605;230216.313
"630466.344050001 230219.242";630466.344050001;230219.242
"630471.16705 231716.368";630471.16705;231716.368
"630476.89505 230217.687";630476.89505;230217.687
"630481.039050002 230213.68";630481.039050002;230213.68
"630491.42405 230206.765";630491.42405;230206.765
"630498.149050001 230200.813";630498.149050001;230200.813
"630501.18705 230192.453";630501.18705;230192.453
"630501.546050001 230162.77";630501.546050001;230162.77
"630503.965050001 230179.347";630503.965050001;230179.347
"630505.753049999 231720.588";630505.753049999;231720.588
"630505.807050001 230159.864";630505.807050001;230159.864
"630508.775049999 230162.015";630508.775049999;230162.015
"630517.567049999 230163.448";630517.567049999;230163.448
"630521.955049999 230161.358";630521.955049999;230161.358
"630526.559050001 230057.36";630526.559050001;230057.36
"630527.252050001 230061.395";630527.252050001;230061.395
"630527.752050001 230157.899";630527.752050001;230157.899
"630531.999049999 230055.364";630531.999049999;230055.364
"630533.764049999 230147.216";630533.764049999;230147.216
"630534.704050001 231721.421";630534.704050001;231721.421
"630535.469050001 230058.074";630535.469050001;230058.074
"630535.745049998 230070.302";630535.745049998;230070.302
"630537.313050002 230140.037";630537.313050002;230140.037
"630540.22005 230078.912";630540.22005;230078.912
"630541.230050001 230131.376";630541.230050001;230131.376
"630542.161049999 230100.681";630542.161049999;230100.681
"630543.885049999 230059.339";630543.885049999;230059.339
"630544.09505 230119.452";630544.09505;230119.452
"630544.251049999 230084.248";630544.251049999;230084.248
"630544.412050001 231722.146";630544.412050001;231722.146
"630544.454050001 230114.696";630544.454050001;230114.696
"630545.217050001 230089.7";630545.217050001;230089.7
"630551.923050001 230057.016";630551.923050001;230057.016
"630555.999049999 231697.571";630555.999049999;231697.571
"630557.113049999 230058.22";630557.113049999;230058.22
"630561.061050002 230067.142";630561.061050002;230067.142
"630567.786049999 231672.573";630567.786049999;231672.573
"630569.179049999 230086.957";630569.179049999;230086.957
"630570.264049999 230082.416";630570.264049999;230082.416
"630577.965050001 230092.631";630577.965050001;230092.631
"630585.44805 230092.367";630585.44805;230092.367
"630589.28105 231635.702";630589.28105;231635.702
"630591.462049998 230087.895";630591.462049998;230087.895
