Gemeindecode;Gemeindename;Einwohner;Veränderung in %;Bevölkerungs-dichte pro km²;Auslaenderanteil;0-19 Jahre;20-64 Jahre;65 Jahre und mehr;Rohe Heiratssziffer;Rohe Scheidungsziffer;Rohe Geburtenziffer;Rohe Sterbeziffer;Anzahl Privathaushalte;Durchschnittliche Haushaltsgrösse in Personen;Gesamtfläche in km²;Siedlungsfläche in %;Veränderung in ha;Landwirtschafts-fläche in %;Veränderung in ha;Wald und Gehölze in %;Unproduktive Fläche in %;Beschäftigte total;im 1. Sektor;im 2. Sektor;im 3. Sektor;Arbeitsstätten total;im 1. Sektor;im 2. Sektor;im 3. Sektor;Leerwohnungs-ziffer;Neu gebaute Wohnungen pro 1000 Einwohner;Sozialhilfequote;FDP 2);CVP;SP;SVP;EVP/CSP;GLP;BDP;PdA/Sol.;GPS;Kleine Rechtsparteien;Übrige Parteien;;gemäss Strafgesetzbuch (StGB) ;gemäss Betäubungsmittel-gesetz (BetmG);gemäss Ausländergesetz (AuG)
1040;Rothenburg;7.246;1,8;468;8,9;23,3;60,8;15,9;3,5;2,3;9,5;5,7;2.802;2,6;15,5;17,8;61;65,7;-51;16,0;0,5;4.622;182;1.145;3.295;522;68;90;364;0,07;4,3;1,3;16,2;23,0;16,6;30,6;0,7;5,4;1,7;*;5,2;0,1;0,4;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1040 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(30,644939494)}]-(b);";52,8;5,8;1,0
1041;Schongau;1.004;15,9;81;5,5;27,0;59,9;13,1;2,0;3,0;14,1;8,1;363;2,7;12,5;5,9;22;68,2;-28;25,4;0,5;378;147;134;97;125;57;21;47;0,25;25,6;0,4;12,6;27,0;6,6;41,5;0,2;4,7;1,4;*;5,3;0,0;0,6;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1041 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(41,538037486)}]-(b);";9,2;0,0;0,0
1051;Adligenswil;5.349;-2,6;765;10,0;22,5;59,2;18,2;2,8;0,6;6,3;3,7;2.137;2,5;7,0;23,7;64;50,8;-69;23,5;2,0;1.621;57;448;1.116;350;21;44;285;0,44;0,7;1,3;18,7;14,5;20,7;27,7;0,7;7,3;1,0;*;8,8;0,0;0,6;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1051 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(27,685332562)}]-(b);";29,4;1,1;0,0
1052;Buchrain;6.161;5,8;1.284;17,9;23,6;63,4;13,0;5,7;1,6;8,3;5,2;2.394;2,5;4,8;32,8;55;43,0;-65;16,5;7,7;1.888;42;995;851;234;9;64;161;0,87;8,1;2,9;22,3;19,4;13,6;27,8;0,9;7,6;2,5;*;4,9;0,2;0,7;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1052 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(27,77359365)}]-(b);";53,1;2,6;2,1
1053;Dierikon;1.440;-0,4;518;16,9;20,9;69,0;10,1;6,9;0,0;11,7;4,8;602;2,4;2,8;17,7;12;56,7;-16;23,4;2,1;1.956;26;587;1.343;102;9;21;72;0,31;5,5;3,8;14,9;19,9;10,4;38,1;0,1;4,9;4,4;*;6,0;0,1;1,2;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1053 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(38,082826528)}]-(b);";46,5;2,7;0,0
1054;Ebikon;12.781;5,5;1.320;20,8;19,7;63,4;16,8;4,9;1,7;9,7;7,3;5.442;2,3;9,7;33,5;86;36,1;-84;23,2;7,1;6.566;66;2.475;4.025;720;22;108;590;2,66;13,3;3,5;16,2;20,5;15,4;30,2;0,7;6,3;1,6;*;8,1;0,0;0,9;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1054 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(30,176492252)}]-(b);";61,7;2,8;0,6
1055;Gisikon;1.134;4,5;1.050;17,5;20,8;68,8;10,4;6,2;0,0;13,3;2,7;476;2,4;1,1;27,3;11;47,3;-7;20,0;5,5;500;73;236;191;68;5;18;45;0,79;2,7;2,8;19,4;17,1;8,5;44,8;1,1;4,6;1,2;*;2,9;0,1;0,4;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1055 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(44,834148994)}]-(b);";72,1;12,5;0,9
1056;Greppen;1.034;6,7;311;16,7;25,7;63,5;10,7;8,7;1,0;5,8;6,7;407;2,5;3,3;13,3;13;47,9;-15;38,2;0,6;160;30;33;97;73;12;14;47;2,07;1,0;2,0;19,1;20,0;9,9;32,9;1,4;9,4;1,0;*;5,6;0,1;0,7;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1056 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(32,875536481)}]-(b);";20,1;1,9;0,0
1057;Honau;381;1,9;305;8,7;26,0;65,4;8,7;2,6;0,0;5,3;2,6;134;2,8;1,3;12,8;4;65,6;-5;19,2;2,4;129;18;10;101;23;6;4;13;2,03;13,3;0,3;10,5;20,5;12,9;40,5;0,7;5,6;0,5;*;6,4;1,7;0,6;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1057 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(40,546875)}]-(b);";93,1;0,0;0,0
1058;Horw;13.813;2,7;1.074;17,0;19,4;59,3;21,3;4,5;1,7;9,9;7,2;5.914;2,3;12,8;28,7;77;29,3;-64;41,2;0,8;5.258;115;824;4.319;821;36;122;663;0,30;4,6;2,5;19,1;19,4;15,8;27,1;0,9;6,3;1,6;*;9,0;0,1;0,6;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1058 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(27,1020897)}]-(b);";44,8;2,6;1,2
1059;Kriens;27.229;3,4;997;17,7;19,3;60,3;20,4;5,3;1,7;10,0;8,6;12.084;2,2;27,3;19,9;134;28,4;-133;50,5;1,2;11.846;112;2.265;9.469;1.512;51;241;1.220;0,23;3,4;3,7;16,1;16,7;19,8;27,7;0,6;6,4;1,2;*;10,3;0,0;1,1;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1059 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(27,745874388)}]-(b);";50,9;3,3;1,3
1061;Luzern;81.057;4,6;2.785;24,2;15,7;64,9;19,4;6,6;1,8;10,8;9,2;41.283;1,9;29,1;47,6;120;28,0;-115;22,3;2,1;78.934;176;7.304;71.454;7.845;51;651;7.143;0,85;5,2;3,5;15,4;14,1;25,8;19,5;0,7;8,7;1,4;*;13,3;0,1;1,0;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1061 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(19,537615047)}]-(b);";120,2;17,7;6,8
