"row ID","Gemeinde","Schule","Geschlecht","Muttersprache","Heimatland","Alter","Französisch","Italienisch","Mathematik","1","2","3","4","5","6","7","Gesamtergebnis","M"
"L-409457-KSALP","Ebikon","KSALP","M","D","CH",21.0,3.5,,4.0,,4.285714285714286,4.038461538461538,4.269230769230769,4.428571428571429,4.25,,4.2926829268292686,4.4375
"L-409459-KSALP","Luzern","KSALP","M","D","CH",22.0,5.5,,4.5,,5.0,5.153846153846154,5.115384615384615,5.214285714285714,5.291666666666667,,5.195121951219512,5.375
"L-409460-KSALP","Luzern","KSALP","F","D","CH",22.0,4.5,,3.5,,4.285714285714286,4.076923076923077,4.153846153846154,4.285714285714286,4.181818181818182,,4.21505376344086,4.333333333333333
"L-409462-KSALP","Luzern","KSALP","M","D","CH",22.0,5.0,,3.0,,4.321428571428571,4.3076923076923075,4.076923076923077,,,,4.2375,
"L-409463-KSALP","Luzern","KSALP","M","D","CH",21.0,4.0,,4.5,,4.428571428571429,4.321428571428571,4.3076923076923075,4.392857142857143,4.708333333333333,,4.481927710843373,4.71875
"L-409466-KSALP","Luzern","KSALP","F","D","CH",21.0,3.5,,3.0,,4.392857142857143,3.7916666666666665,,,,,4.115384615384615,
"L-409468-KSALP","Luzern","KSALP","M","D","CH",22.0,3.5,,4.0,,4.535714285714286,4.423076923076923,4.538461538461538,4.357142857142857,4.416666666666667,,4.4817073170731705,4.59375
"L-409469-KSALP","Luzern","KSALP","M","D","CH",22.0,1.5,,1.5,,4.303571428571429,3.5,,,,,4.048780487804878,
"L-409471-KSALP","Luzern","KSALP","F","D","CH",21.0,3.75,,3.5,,4.285714285714286,4.326923076923077,4.346153846153846,4.285714285714286,4.416666666666667,,4.331578947368421,4.34375
"L-409472-KSALP","Emmen","KSALP","F","D","CH",22.0,5.25,,3.0,,4.285714285714286,4.403846153846154,,,,,4.3625,
"L-409473-KSALP","Luzern","KSALP","F","D","CH",22.0,5.5,,5.0,,5.357142857142857,5.357142857142857,5.269230769230769,5.428571428571429,5.416666666666667,,5.391566265060241,5.5
"L-409475-KSALP","Luzern","KSALP","F","D","CH",21.0,4.5,,4.0,,4.785714285714286,4.428571428571429,4.538461538461538,4.285714285714286,4.363636363636363,,4.469135802469136,4.4
"L-409477-KSALP","Luzern","KSALP","F","D","CH",22.0,5.5,,4.0,,5.107142857142857,5.0,4.846153846153846,5.035714285714286,5.125,,5.024096385542169,5.03125
"L-409479-KSALP","Luzern","KSALP","F","D","CH",22.0,4.5,,4.0,,4.607142857142857,4.5,4.384615384615385,4.571428571428571,4.708333333333333,,4.572289156626506,4.65625
"L-409481-KSALP","Luzern","KSALP","F","D","CH",22.0,4.5,,4.5,,4.75,4.576923076923077,4.384615384615385,4.464285714285714,4.458333333333333,,4.554216867469879,4.647058823529412
